antibiotic_pastmonth-NO	num_adults_<=2	age_(2_5]	hiv_medicines-NO	tb_medicines-NO	birthplace-_11	cd4_class-MODERATE	child_sick-YES	num_children_house_<=2	father_hiv-YES	father_alive-NO	father_tb_death-YES	female	hinfluenzae-NO	hinfluenzae_type_b-NO	mother_alive-YES	movement_place_of_birth-NO	mrsa_bacteria-NO	nose_snot-YES	antibiotics_at_present-NO	runny_nose-YES	saureus_bacteria-NO	spneumo_bacteria-NO	sviridans_bacteria-NO	tb_child-NO	tb_exp-YES	septran_prophylaxis-YES	immunisation_completed-YES	waz_cat-_2	num_people_house_<=4	full_immunisation_completed-YES	antibiotic_pastmonth-YES	num_adults_3-5	cd4_class-NORMAL	num_children_house_(2_5]	father_alive-YES	male	antibiotics_at_present-YES	spneumo_bacteria-YES	tb_child-YES	immunisation_completed-NO	waz_cat-_1	num_people_house_(4_10]	num_adults_>5	birthplace-_13	child_sick-NO	movement_place_of_birth-YES	nose_snot-NO	runny_nose-NO	tb_exp-NO	age_>5	hiv_medicines-YES	cd4_class-SEVERE	saureus_bacteria-YES	sviridans_bacteria-YES	waz_cat-_3	full_immunisation_completed-NO	birthplace-_1	mother_alive-NO	birthplace-_8	movement_within_age2-YES	birthplace-_15	movement_within_age2-NO	age_(1-2]	tb_Medicines-YES	birthplace-_12	septran_prophylaxis-NO	birthplace-_7	birthplace-_19	mrsa_bacteria-YES	birthplace-_	hinfluenzae-YES	mother_hiv-YES	birthplace-_16	hinfluenzae_type_b-YES	father_tb_death-NO	father_hiv-NO	mother_hiv-NO	num_people_house_>10	age_<=1	num_children_house_>5	birthplace-_2	birthplace-_4	birthplace-_3	birthplace-_20	birthplace-_9	
0.0	0.7788	0.5474	0.308	0.6888	0.4358	0.388	0.3216	0.7034	0.6218	0.4574	0.9538	0.3132	0.285	0.362	0.5558	0.4556	0.611	0.7354	0.5214	0.6028	0.5596	0.59	0.159	0.965	0.8032	0.4834	0.4232	0.7076	0.8032	0.4464	0.0	0.1324	0.2168	0.37	0.7	0.6012	0.3722	0.2708	0.8528	0.3024	0.656	0.1766	0.414	0.1766	0.9996	0.569	0.3894	0.9956	0.2854	0.3372	0.7476	0.3556	0.2942	0.9612	0.07	0.3418	0.6332	0.3382	0.4662	0.6418	0.561	0.9256	0.0	0.0	0.6674	0.4168	0.7734	0.311	0.0	0.0	0.728	0.6594	0.3882	0.6678	0.0	0.5668	0.4112	0.3278	0.9184	0.0896	0.0	0.0	0.0	0.0	0.0	
0.7788	0.0	0.4114	0.809	0.6352	0.631	0.7212	0.3108	0.8124	0.833	0.6512	0.7224	0.8382	0.289	0.453	0.8784	0.7624	0.482	0.9154	0.3958	0.5338	0.5424	0.2878	0.5818	0.2604	0.7742	0.4372	0.8302	0.3832	1.0	0.5504	0.086	0.0	0.2614	0.7856	0.8004	0.1312	0.5496	0.7082	0.0444	0.2414	0.4906	6.0E-4	0.0	0.4106	0.1458	0.2496	0.1476	0.0834	0.487	0.4676	0.0194	0.0366	0.3482	0.223	0.5146	0.3664	0.7592	0.023	0.118	0.429	0.742	0.7882	0.3874	0.1094	0.2366	0.3264	0.2788	0.8212	0.4048	0.081	0.719	0.7458	0.1036	0.491	0.6442	0.5292	0.6914	0.0	0.5984	0.0	0.0	0.394	0.0	0.0	0.0	
0.5474	0.4114	0.0	0.3948	0.491	0.3236	0.6772	0.373	0.6396	0.7518	0.494	0.6598	0.5758	0.4114	0.378	0.694	0.5998	0.4442	0.5726	0.3162	0.5246	0.4492	0.2502	0.7372	0.5328	0.6766	0.6418	0.697	0.3992	0.4684	0.3628	0.4218	0.7076	0.213	0.347	0.5648	0.3528	0.6798	0.7564	0.1626	0.4316	0.4396	0.5562	0.175	0.461	0.4266	0.1528	0.4794	0.3	0.3326	0.0	0.5856	0.8666	0.4676	0.0172	0.5314	0.1168	0.0136	0.0418	0.8552	0.7292	0.5648	0.2874	0.0	0.3544	0.7088	0.0368	0.761	0.49	0.4592	0.2334	0.5244	0.6838	0.0	0.6136	0.747	0.02	0.0	0.2818	0.0	0.2504	0.5416	0.5248	0.7152	0.7316	0.7448	
0.308	0.809	0.3948	0.0	0.509	0.5808	0.5914	0.4966	0.5984	0.7328	0.2992	0.5882	0.4464	0.4074	0.3652	0.7546	0.7492	0.4884	0.827	0.1284	0.6202	0.595	0.2646	0.5076	0.5622	0.4742	0.484	0.7572	0.1884	0.7868	0.3662	0.8132	0.518	0.4506	0.6674	0.7848	0.4936	0.858	0.7066	0.2294	0.2606	0.6846	0.532	0.0466	0.672	0.4846	0.2512	0.206	0.434	0.541	0.462	0.0	0.097	0.3004	0.38	0.5716	0.4506	0.7388	0.1742	0.383	0.3076	0.3552	0.6884	0.6352	0.3764	0.4534	0.549	0.1888	0.4646	0.3796	0.1406	0.538	0.6712	0.6062	0.585	0.453	0.5828	0.6896	0.0528	0.4084	0.0846	0.1838	0.1802	0.425	0.4446	0.0	
0.6888	0.6352	0.491	0.509	0.0	0.5798	0.3382	0.2604	0.576	0.3626	0.5146	0.5082	0.7394	0.237	0.3314	0.567	0.3804	0.3734	0.4946	0.2092	0.4538	0.32	0.2868	0.3996	0.7638	0.1664	0.4608	0.6486	0.515	0.603	0.5964	0.1946	0.183	0.785	0.2242	0.4578	0.2228	0.7612	0.676	0.0244	0.523	0.5378	0.2242	0.6826	0.5738	0.4932	0.5442	0.515	0.2754	0.7274	0.5066	0.4188	0.0552	0.6392	0.547	0.3678	0.2116	0.4404	0.3346	0.3732	0.4498	0.429	0.4994	0.2348	0.0	0.2066	0.4468	0.5396	0.3596	0.5618	0.4368	0.7382	0.3598	0.53	0.6292	0.4196	0.4622	0.4552	0.6624	0.5206	0.645	0.4546	0.4488	0.3816	0.4102	0.4052	
0.4358	0.631	0.3236	0.5808	0.5798	0.0	0.8922	0.5526	0.5172	0.198	0.5552	0.856	0.207	0.6114	0.3892	0.6484	0.8246	0.5874	0.5582	0.355	0.649	0.6278	0.726	0.5706	0.6992	0.3874	0.506	0.7382	0.01	0.6238	0.76	0.4364	0.5552	0.0306	0.5554	0.4804	0.6746	0.5948	0.076	0.0712	0.3646	0.642	0.4916	0.069	0.0	0.4502	0.0864	0.4548	0.4086	0.634	0.7366	0.1874	0.449	0.1616	0.1778	0.8792	0.3056	0.0	0.1814	0.0	0.355	0.0	0.1902	0.0	0.1034	0.0	0.1894	0.0	0.0	0.0	0.0	0.214	0.2172	0.0	0.6078	0.0	0.862	0.9186	0.1054	0.0	0.152	0.0	0.0	0.0	0.0	0.0	
0.388	0.7212	0.6772	0.5914	0.3382	0.8922	0.0	0.194	0.4768	0.4916	0.1582	0.1908	0.1816	0.3824	0.2292	0.464	0.2724	0.4552	0.7082	0.9568	0.5018	0.5126	0.7624	0.4024	0.1734	0.1838	0.5876	0.4784	0.3806	0.5814	0.3594	0.1664	0.3418	0.0	0.1942	0.834	0.741	0.0012	0.0974	0.0844	0.0776	0.3202	0.2462	0.2416	0.2658	0.1698	0.6006	0.5464	0.0506	0.4936	0.3822	0.232	0.0	0.3934	0.607	0.6928	0.7266	0.3384	0.3338	0.2988	0.5416	0.4312	0.6002	0.668	0.7632	0.2934	0.2134	0.333	0.4408	0.4868	0.2784	0.5956	0.4828	0.3882	0.8996	0.0	0.7636	0.595	0.6362	0.0	0.79	0.4364	0.0	0.0	0.6544	0.662	
0.3216	0.3108	0.373	0.4966	0.2604	0.5526	0.194	0.0	0.5622	0.657	0.7078	0.1914	0.2944	0.7474	0.6436	0.6356	0.7598	0.509	0.836	0.0944	1.0	0.474	0.7242	0.4442	0.9908	0.6066	0.2998	0.1714	0.179	0.5702	0.3776	1.0	0.9096	0.458	0.7978	0.3494	0.6156	0.9312	0.1174	0.9694	0.5622	0.7308	0.7752	0.0458	0.1206	0.0	0.2326	0.1428	0.866	0.364	0.5188	0.3792	0.9198	0.4412	0.4842	0.4838	0.7536	0.5952	0.2774	0.8886	0.8162	0.0262	0.5158	0.4614	0.8784	0.9048	0.0188	0.3606	0.2788	0.292	0.2878	0.1008	0.2384	0.672	0.116	0.6716	0.1354	0.2262	0.014	0.3984	0.0092	0.4458	0.0	0.0	0.0	0.0	
0.7034	0.8124	0.6396	0.5984	0.576	0.5172	0.4768	0.5622	0.0	0.6624	0.5634	0.7752	0.5962	0.637	0.6332	0.8524	0.8282	0.438	0.2574	0.5804	0.6736	0.3802	0.3996	0.3902	0.7556	0.8056	0.391	0.9816	0.7738	0.999	0.6082	0.37	0.8738	0.3868	0.0	0.8364	0.3514	0.3338	0.5672	0.2874	0.112	0.3276	0.1788	0.0	0.5182	0.5432	0.168	0.6164	0.4264	0.4768	0.2428	0.2586	0.4844	0.59	0.6114	0.2974	0.4426	0.714	0.0678	0.3716	0.7512	0.1778	0.7554	0.5722	0.2334	0.298	0.5802	0.6166	0.5488	0.519	0.0822	0.2512	0.6238	0.6268	0.164	0.543	0.5324	0.5896	0.0	0.6346	0.0	0.2878	0.6508	0.5236	0.0	0.0	
0.6218	0.833	0.7518	0.7328	0.3626	0.198	0.4916	0.657	0.6624	0.0	0.6912	0.5964	0.855	0.4296	0.4944	0.8164	0.831	0.3656	0.9288	0.2866	0.766	0.312	0.5628	0.6794	0.334	0.8002	0.7444	0.8356	0.755	0.7298	0.5154	0.5892	0.5004	0.3366	0.7094	0.8996	0.1272	0.7178	0.3448	0.2174	0.3118	0.374	0.5912	0.0256	0.4068	0.151	0.1636	0.288	0.1076	0.3822	0.12	0.0942	0.3758	0.704	0.1304	0.2762	0.2416	0.7472	0.1062	0.2856	0.7274	0.3542	0.8192	0.6136	0.6898	0.542	0.069	0.6722	0.7422	0.7274	0.0324	0.5354	1.0	0.6712	0.4434	0.5696	0.0	0.0026	0.0358	0.8378	0.0222	0.3116	0.6712	0.5432	0.0	0.0	
