mrsa_bacteria-NO	tb_medicines-NO	hinfluenzae_type_b-NO	sviridans_bacteria-NO	septran_prophylaxis-YES	hiv_medicines-NO	saureus_bacteria-NO	mother_alive-YES	nose_snot-NO	hinfluenzae-NO	spneumo_bacteria-NO	antibiotics_at_present-NO	immunisation_completed-YES	mother_hiv-YES	num_children_house_<=2	
0	128	124	123	122	118	115	107	108	105	103	99	95	93	87	
128	0	118	119	118	114	103	106	105	97	96	89	96	89	86	
124	118	0	118	112	108	99	99	101	111	95	88	91	85	84	
123	119	118	0	114	110	99	100	102	100	91	88	93	88	80	
122	118	112	114	0	108	100	99	98	93	90	89	88	91	79	
118	114	108	110	108	0	98	100	91	91	87	79	90	86	79	
115	103	99	99	100	98	0	89	88	82	87	82	78	78	70	
107	106	99	100	99	100	89	0	85	86	82	74	89	83	78	
108	105	101	102	98	91	88	85	0	87	86	82	78	75	73	
105	97	111	100	93	91	82	86	87	0	86	77	76	70	71	
103	96	95	91	90	87	87	82	86	86	0	78	72	72	66	
99	89	88	88	89	79	82	74	82	77	78	0	68	65	65	
95	96	91	93	88	90	78	89	78	76	72	68	0	76	77	
93	89	85	88	91	86	78	83	75	70	72	65	76	0	64	
87	86	84	80	79	79	70	78	73	71	66	65	77	64	0	
