mrsa_bacteria-NO	tb_medicines-NO	hinfluenzae_type_b-NO	sviridans_bacteria-NO	septran_prophylaxis-YES	hiv_medicines-NO	saureus_bacteria-NO	mother_alive-YES	nose_snot-NO	hinfluenzae-NO	spneumo_bacteria-NO	antibiotics_at_present-NO	immunisation_completed-YES	mother_hiv-YES	num_children_house_<=2	age_>5	movement_place_of_birth-NO	father_hiv-YES	male	father_alive-YES	tb_exp-YES	num_adults_<=2	female	cd4_class-NORMAL	num_people_house_<=4	num_people_house_(4_10]	cd4_class-MODERATE	child_sick-YES	num_adults_3-5	movement_place_of_birth-YES	runny_nose-NO	waz_cat-_1	tb_exp-NO	waz_cat-_2	father_alive-NO	
0	128	124	123	122	118	115	107	108	105	103	99	95	93	87	86	87	81	79	78	76	65	63	62	61	59	59	58	52	51	55	48	50	47	47	
128	0	118	119	118	114	103	106	105	97	96	89	96	89	86	84	81	78	72	75	69	65	65	66	60	54	55	52	46	52	48	48	51	46	46	
124	118	0	118	112	108	99	99	101	111	95	88	91	85	84	80	80	77	72	73	72	60	60	63	57	57	51	56	50	48	52	44	45	43	42	
123	119	118	0	114	110	99	100	102	100	91	88	93	88	80	78	80	80	72	71	73	62	60	61	58	54	54	53	48	48	47	48	43	42	47	
122	118	112	114	0	108	100	99	98	93	90	89	88	91	79	77	79	80	68	70	71	59	62	56	54	55	56	50	48	48	50	46	44	46	44	
118	114	108	110	108	0	98	100	91	91	87	79	90	86	79	76	80	77	70	74	68	63	55	55	58	54	54	51	47	43	46	46	44	37	39	
115	103	99	99	100	98	0	89	88	82	87	82	78	78	70	69	70	65	68	64	66	54	48	49	50	48	49	47	42	43	41	45	40	36	41	
107	106	99	100	99	100	89	0	85	86	82	74	89	83	78	64	77	73	65	75	64	60	50	52	55	51	48	49	43	38	42	41	44	37	35	
108	105	101	102	98	91	88	85	0	87	86	82	78	75	73	72	63	64	61	63	61	47	54	50	47	48	49	41	45	48	47	43	40	32	36	
105	97	111	100	93	91	82	86	87	0	86	77	76	70	71	67	69	64	63	65	61	48	48	50	48	48	45	49	45	38	45	34	37	36	34	
103	96	95	91	90	87	87	82	86	86	0	78	72	72	66	68	65	65	64	63	59	47	45	43	44	47	50	48	43	41	42	36	39	33	35	
99	89	88	88	89	79	82	74	82	77	78	0	68	65	65	64	63	57	60	56	58	46	43	33	43	43	53	35	39	36	36	28	33	37	35	
95	96	91	93	88	90	78	89	78	76	72	68	0	76	77	57	72	66	57	65	59	53	46	45	51	47	43	37	40	29	37	35	37	34	33	
93	89	85	88	91	86	78	83	75	70	72	65	76	0	64	55	68	81	51	63	62	50	49	43	46	45	42	37	39	31	34	32	31	37	32	
87	86	84	80	79	79	70	78	73	71	66	65	77	64	0	53	62	57	50	57	56	48	43	40	58	35	39	39	41	30	34	30	32	35	32	
86	84	80	78	77	76	69	64	72	67	68	64	57	55	53	0	51	47	52	45	49	42	40	45	39	36	37	38	33	40	38	31	31	32	34	
87	81	80	80	79	80	70	77	63	69	65	63	72	68	62	51	0	59	53	56	53	46	38	42	40	50	35	41	40	0	33	27	35	34	30	
81	78	77	80	80	77	65	73	64	64	65	57	66	81	57	47	59	0	43	56	53	46	45	37	41	39	37	38	33	28	27	29	29	33	32	
79	72	72	72	68	70	68	65	61	63	64	60	57	51	50	52	53	43	0	48	43	33	0	31	31	39	39	36	34	28	35	31	35	23	25	
78	75	73	71	70	74	64	75	63	65	63	56	65	63	57	45	56	56	48	0	46	43	35	32	39	39	40	32	34	25	25	22	32	28	0	
76	69	72	73	71	68	66	64	61	61	59	58	59	62	56	49	53	53	43	46	0	42	39	39	39	38	30	35	35	29	35	26	0	28	29	
65	65	60	62	59	63	54	60	47	48	47	46	53	50	48	42	46	46	33	43	42	0	36	28	54	15	32	26	0	23	20	24	24	22	25	
63	65	60	60	62	55	48	50	54	48	45	43	46	49	43	40	38	45	0	35	39	36	0	36	33	25	24	25	22	28	21	21	17	27	25	
62	66	63	61	56	55	49	52	50	50	43	33	45	43	40	45	42	37	31	32	39	28	36	0	26	29	0	27	23	25	29	28	23	23	26	
61	60	57	58	54	58	50	55	47	48	44	43	51	46	58	39	40	41	31	39	39	54	33	26	0	0	28	27	10	24	22	24	23	21	24	
59	54	57	54	55	54	48	51	48	48	47	43	47	45	35	36	50	39	39	39	38	15	25	29	0	0	24	30	44	13	25	16	21	21	19	
59	55	51	54	56	54	49	48	49	45	50	53	43	42	39	37	35	37	39	40	30	32	24	0	28	24	0	22	22	25	17	20	22	20	17	
58	52	56	53	50	51	47	49	41	49	48	35	37	37	39	38	41	38	36	32	35	26	25	27	27	30	22	0	29	20	28	24	20	17	23	
